mode,n,family,variant,description,duration_ns,amplitude_scale,expected_pi_amplitude_MHz,amplitude_MHz,carrier_rotating_MHz,target_probability,source_probability,leakage_probability,subspace_population,projected_swap_fidelity,projected_diagonal_norm,offdiag_phase_asymmetry_rad,source_column_subspace_norm,target_column_subspace_norm,neighbor_transfer_rows,max_neighbor_transfer,selectivity_ratio,dominant_basis_states,passes_unselective,passes_selective,criterion
readout,2,square,square,Constant envelope,300.0,1.05,0.5892556509887895,0.618718433538229,-261.66969452446074,0.994161713722691,0.005838286277308691,2.888314587501384e-16,0.9999999999999997,0.994174855571614,0.10787105278115999,-0.00533053770914751,0.9999999999999997,0.9999999999999998,"[{""n_other"": 1, ""target_probability"": 0.009815248705034432}, {""n_other"": 3, ""target_probability"": 0.00874751170949523}]",0.009815248705034432,101.28747050625076,"[[""|g,2,0>"", 0.994161713722691], [""|f,1,0>"", 0.005838286277308691]]",True,True,gate_oriented
readout,3,square,square,Constant envelope,300.0,1.05,0.48112522432468807,0.5051814855409225,-267.6696945244608,0.9941024358568219,0.005897564143177745,3.5735303605122226e-16,0.9999999999999997,0.6530504121279347,0.10822434401059008,1.2516093134626953,0.9999999999999996,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.0062271369039847545}, {""n_other"": 2, ""target_probability"": 0.011163362255621184}]",0.011163362255621184,89.05045031180038,"[[""|g,3,0>"", 0.9940808422751611], [""|f,2,0>"", 0.005919157724838432]]",True,False,gate_oriented
readout,1,gaussian,sigma_0p24,Wide Gaussian,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9940370544226127,0.005962945577387254,4.7704895589362195e-17,1.0,0.6479503022658801,0.10900147167085794,-1.2622802433402067,1.0000000000000002,1.0000000000000004,"[{""n_other"": 2, ""target_probability"": 0.008432155504881677}, {""n_other"": 3, ""target_probability"": 0.001966587510064342}]",0.008432155504881677,117.88647088483236,"[[""|g,1,0>"", 0.9940370544226127], [""|f,0,0>"", 0.005962945577387254]]",True,True,gate_oriented
readout,2,gaussian,sigma_0p24,Wide Gaussian,300.0,1.05,0.5892556509887895,0.618718433538229,-261.66969452446074,0.9940537506456125,0.005946249354387329,1.491862189340054e-16,0.9999999999999999,0.9940600429105303,0.10893602429307893,-0.0050859566734047235,0.9999999999999999,0.9999999999999998,"[{""n_other"": 1, ""target_probability"": 0.000355966742621639}, {""n_other"": 3, ""target_probability"": 0.004918903136056299}]",0.004918903136056299,202.08849882792958,"[[""|g,2,0>"", 0.9940537506456125], [""|f,1,0>"", 0.005946249354387329]]",True,True,gate_oriented
readout,3,gaussian,sigma_0p24,Wide Gaussian,300.0,1.05,0.48112522432468807,0.5051814855409225,-267.6696945244608,0.994074177908754,0.005925822091246346,0.0,1.0000000000000002,0.6533075965440162,0.10868289852896319,1.2509950799583962,0.9999999999999998,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.00025352763372412935}, {""n_other"": 2, ""target_probability"": 0.0007431903869347156}]",0.0007431903869347156,1337.5767439737845,"[[""|g,3,0>"", 0.9940733575731895], [""|f,2,0>"", 0.005926642426810296]]",True,True,gate_oriented
readout,2,cosine,raised_cosine,Single-lobe cosine,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.66969452446074,0.9940300224692642,0.005969977530735711,9.280770596475918e-17,0.9999999999999999,0.9501962346898382,0.10898124019971052,-0.42328314757719937,0.9999999999999997,0.9999999999999999,"[{""n_other"": 1, ""target_probability"": 0.0012607575001754928}, {""n_other"": 3, ""target_probability"": 0.012811910673052918}]",0.012811910673052918,77.58639970539221,"[[""|g,2,0>"", 0.9940300224692642], [""|f,1,0>"", 0.005969977530735711]]",True,False,gate_oriented
readout,3,cosine,raised_cosine,Single-lobe cosine,300.0,1.05,0.48112522432468807,0.5051814855409225,-267.6696945244608,0.9940474499116958,0.005952550088303762,4.36282954208167e-16,0.9999999999999996,0.6533334162911132,0.1089016008756277,1.2509072166392514,1.0,0.9999999999999999,"[{""n_other"": 1, ""target_probability"": 4.4629196853735016e-05}, {""n_other"": 2, ""target_probability"": 0.011990833954625855}]",0.011990833954625855,82.90061005541733,"[[""|g,3,0>"", 0.9940466428194102], [""|f,2,0>"", 0.0059533571805899625]]",True,False,gate_oriented
readout,2,flat_top_cosine,ramp_0p35,Long cosine ramp,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.66969452446074,0.9940316001368881,0.005968399863112211,0.0,1.0000000000000002,0.9502320015658969,0.10909305674842612,-0.42305080992342337,1.0000000000000002,1.0,"[{""n_other"": 1, ""target_probability"": 0.0042684432401673255}, {""n_other"": 3, ""target_probability"": 0.012170608429839474}]",0.012170608429839474,81.67476637402581,"[[""|g,2,0>"", 0.9940316001368881], [""|f,1,0>"", 0.005968399863112211]]",True,False,gate_oriented
readout,3,flat_top_gaussian,ramp_0p35,Long Gaussian ramp,300.0,1.05,0.48112522432468807,0.5051814855409225,-267.6696945244608,0.9940526561272903,0.005947343872709668,7.806255641895632e-18,1.0,0.653540329786704,0.10878066393597671,1.250486985732501,0.9999999999999997,0.9999999999999999,"[{""n_other"": 1, ""target_probability"": 1.6875019050611105e-05}, {""n_other"": 2, ""target_probability"": 0.010230519631145366}]",0.010230519631145366,97.16541211660824,"[[""|g,3,0>"", 0.9940550929241638], [""|f,2,0>"", 0.005944907075836021]]",True,False,gate_oriented
readout,1,smooth_bump,compact_bump,Compact-support smooth ramp,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9940160541192831,0.005983945880717051,0.0,1.0000000000000002,0.6479788616378598,0.1093204549611856,-1.2621720024634562,1.0000000000000002,1.0000000000000004,"[{""n_other"": 2, ""target_probability"": 0.0014854454407205453}, {""n_other"": 3, ""target_probability"": 0.00044960988130094434}]",0.0014854454407205453,669.1703558207533,"[[""|g,1,0>"", 0.9940160541192831], [""|f,0,0>"", 0.005983945880717051]]",True,True,gate_oriented
readout,1,blackman,blackman,Blackman window,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9939942561048531,0.006005743895146773,8.066464163292153e-17,0.9999999999999999,0.6479898484784382,0.10939591639801763,-1.2621374395211957,1.0000000000000002,0.9999999999999998,"[{""n_other"": 2, ""target_probability"": 0.0022252565548998744}, {""n_other"": 3, ""target_probability"": 2.2140327931790445e-05}]",0.0022252565548998744,446.6874859512898,"[[""|g,1,0>"", 0.9939942561048531], [""|f,0,0>"", 0.006005743895146773]]",True,True,gate_oriented
readout,2,blackman,blackman,Blackman window,300.0,1.05,0.5892556509887895,0.618718433538229,-261.66969452446074,0.993996860082532,0.00600313991746771,3.2699537522162814e-16,0.9999999999999997,0.9940189289698869,0.10930267327772479,-0.00550596360935085,0.9999999999999999,0.9999999999999996,"[{""n_other"": 1, ""target_probability"": 0.013809823306029343}, {""n_other"": 3, ""target_probability"": 0.000592208870049704}]",0.013809823306029343,71.97752194617543,"[[""|g,2,0>"", 0.993996860082532], [""|f,1,0>"", 0.00600313991746771]]",True,False,gate_oriented
readout,3,blackman,blackman,Blackman window,300.0,1.05,0.48112522432468807,0.5051814855409225,-267.6696945244608,0.9940500224541874,0.0059499775458127764,0.0,1.0000000000000002,0.6533743673734899,0.10893727510468221,1.250815008658791,0.9999999999999998,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 3.9598069773246994e-08}, {""n_other"": 2, ""target_probability"": 0.012639937351405303}]",0.012639937351405303,78.64358776617428,"[[""|g,3,0>"", 0.9940544542132667], [""|f,2,0>"", 0.005945545786733302]]",True,False,gate_oriented
storage,3,square,square,Constant envelope,160.0,1.05,0.9021097956087903,0.9472152853892298,-267.03137852446076,0.9942884032364916,0.005711596763508458,0.0,1.0,0.5748228443357585,0.10669669480396095,-1.413926701467494,0.9999999999999998,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.006219269949758765}, {""n_other"": 2, ""target_probability"": 2.5547906528054203e-05}]",0.006219269949758765,159.8722054628065,"[[""|g,0,3>"", 0.9942884032364916], [""|f,0,2>"", 0.005711596763508458]]",True,True,gate_oriented
storage,1,gaussian,sigma_0p24,Wide Gaussian,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9940370544226127,0.005962945577387254,4.7704895589362195e-17,1.0,0.6479503022658801,0.10900147167085794,-1.2622802433402067,1.0000000000000002,1.0000000000000004,"[{""n_other"": 2, ""target_probability"": 0.011966053016014309}, {""n_other"": 3, ""target_probability"": 0.002379953979799183}]",0.011966053016014309,83.07142322470753,"[[""|g,0,1>"", 0.9940370544226127], [""|f,0,0>"", 0.005962945577387254]]",True,False,gate_oriented
storage,2,gaussian,sigma_0p24,Wide Gaussian,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.3505365244608,0.9940654092383459,0.005934590761654288,0.0,1.0000000000000002,0.9939988228225306,0.10880810664761117,0.018117736857398613,0.9999999999999999,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.017206703874178813}, {""n_other"": 3, ""target_probability"": 0.00034029927164577794}]",0.017206703874178813,57.77198332157544,"[[""|g,0,2>"", 0.9940654092383459], [""|f,0,1>"", 0.005934590761654288]]",True,False,gate_oriented
storage,3,gaussian,sigma_0p24,Wide Gaussian,220.0,1.05,0.6560798513518474,0.6888838439194398,-267.03137852446076,0.9940819441499372,0.005918055850062612,1.6393136847980827e-16,0.9999999999999999,0.5066619054450126,0.1085348097062376,-1.5514675725325153,0.9999999999999999,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.0003352923338003903}, {""n_other"": 2, ""target_probability"": 0.015450657618830702}]",0.015450657618830702,64.33913485587735,"[[""|g,0,3>"", 0.9940819441499372], [""|f,0,2>"", 0.005918055850062612]]",True,False,gate_oriented
storage,2,cosine,raised_cosine,Single-lobe cosine,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.3505365244608,0.9940286140031009,0.005971385996899274,0.0,1.0000000000000002,0.9939609461471697,0.10916740927895595,0.017975057531726787,1.0000000000000002,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 0.005892521275471979}, {""n_other"": 3, ""target_probability"": 0.005448734142523028}]",0.005892521275471979,168.6932583749528,"[[""|g,0,2>"", 0.9940286140031009], [""|f,0,1>"", 0.005971385996899274]]",True,True,gate_oriented
storage,3,cosine,raised_cosine,Single-lobe cosine,220.0,1.05,0.6560798513518474,0.6888838439194398,-267.03137852446076,0.9940474019901193,0.0059525980098808625,0.0,1.0000000000000002,0.506531055307671,0.10884633852716032,-1.5516961541329535,1.0000000000000002,1.0000000000000002,"[{""n_other"": 1, ""target_probability"": 8.45300922253295e-06}, {""n_other"": 2, ""target_probability"": 0.0037801840249369126}]",0.0037801840249369126,262.96270113641066,"[[""|g,0,3>"", 0.9940474019901193], [""|f,0,2>"", 0.0059525980098808625]]",True,True,gate_oriented
storage,2,flat_top_cosine,ramp_0p35,Long cosine ramp,220.0,1.05,0.8035304331665312,0.8437069548248578,-261.3505365244608,0.9940302465894493,0.005969753410550619,1.0755285551056204e-16,0.9999999999999999,0.9939679535157557,0.10910561258661404,0.017945517910533223,0.9999999999999999,0.9999999999999999,"[{""n_other"": 1, ""target_probability"": 0.012900714234761693}, {""n_other"": 3, ""target_probability"": 0.003484177411186686}]",0.012900714234761693,77.05234210296507,"[[""|g,0,2>"", 0.9940302465894493], [""|f,0,1>"", 0.005969753410550619]]",True,False,gate_oriented
storage,3,flat_top_cosine,ramp_0p35,Long cosine ramp,220.0,1.05,0.6560798513518474,0.6888838439194398,-267.03137852446076,0.9940476682125797,0.005952331787420485,0.0,1.0000000000000002,0.5065719702739933,0.10885720545973684,-1.5516126085059494,0.9999999999999998,1.0000000000000004,"[{""n_other"": 1, ""target_probability"": 0.005246208314059704}, {""n_other"": 2, ""target_probability"": 0.009571073322137942}]",0.009571073322137942,103.859581340093,"[[""|g,0,3>"", 0.9940476682125797], [""|f,0,2>"", 0.005952331787420485]]",True,True,gate_oriented
storage,1,smooth_bump,compact_bump,Compact-support smooth ramp,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9940160541192831,0.005983945880717051,0.0,1.0000000000000002,0.6479788616378598,0.1093204549611856,-1.2621720024634562,1.0000000000000002,1.0000000000000004,"[{""n_other"": 2, ""target_probability"": 2.237501489630761e-06}, {""n_other"": 3, ""target_probability"": 0.0027177742612159296}]",0.0027177742612159296,365.7463639656964,"[[""|g,0,1>"", 0.9940160541192831], [""|f,0,0>"", 0.005983945880717051]]",True,True,gate_oriented
storage,1,blackman,blackman,Blackman window,300.0,1.05,0.8333333333333333,0.875,-255.6696945244608,0.9939942561048531,0.006005743895146773,8.066464163292153e-17,0.9999999999999999,0.6479898484784382,0.10939591639801763,-1.2621374395211957,1.0000000000000002,0.9999999999999998,"[{""n_other"": 2, ""target_probability"": 0.0005809801773022129}, {""n_other"": 3, ""target_probability"": 8.341929498335782e-05}]",0.0005809801773022129,1710.8918598918042,"[[""|g,0,1>"", 0.9939942561048531], [""|f,0,0>"", 0.006005743895146773]]",True,True,gate_oriented
