infidelity_factor,time_factor,complexity_factor,winner,ordered_labels
0.75,0.75,0.75,R1_exact_runtime_to_exact_runtime,"['R1_exact_runtime_to_exact_runtime', 'R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
0.75,0.75,1.0,R1_exact_runtime_to_exact_runtime,"['R1_exact_runtime_to_exact_runtime', 'R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
0.75,0.75,1.25,R1_exact_runtime_to_exact_runtime,"['R1_exact_runtime_to_exact_runtime', 'R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
0.75,1.0,0.75,R1_exact_runtime_to_exact_runtime,"['R1_exact_runtime_to_exact_runtime', 'R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
0.75,1.0,1.0,R1_exact_runtime_to_exact_runtime,"['R1_exact_runtime_to_exact_runtime', 'R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
0.75,1.0,1.25,R1_exact_runtime_to_exact_runtime,"['R1_exact_runtime_to_exact_runtime', 'R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
0.75,1.25,0.75,R1_exact_runtime_to_exact_runtime,"['R1_exact_runtime_to_exact_runtime', 'R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
0.75,1.25,1.0,R1_exact_runtime_to_exact_runtime,"['R1_exact_runtime_to_exact_runtime', 'R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
0.75,1.25,1.25,R1_exact_runtime_to_exact_runtime,"['R1_exact_runtime_to_exact_runtime', 'R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
1.0,0.75,0.75,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
1.0,0.75,1.0,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
1.0,0.75,1.25,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
1.0,1.0,0.75,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
1.0,1.0,1.0,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
1.0,1.0,1.25,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
1.0,1.25,0.75,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
1.0,1.25,1.0,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
1.0,1.25,1.25,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R2_B_local_replay']"
1.25,0.75,0.75,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_B_local_replay']"
1.25,0.75,1.0,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_B_local_replay']"
1.25,0.75,1.25,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_B_local_replay']"
1.25,1.0,0.75,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_B_local_replay']"
1.25,1.0,1.0,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_B_local_replay']"
1.25,1.0,1.25,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_B_local_replay']"
1.25,1.25,0.75,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_B_local_replay']"
1.25,1.25,1.0,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_B_local_replay']"
1.25,1.25,1.25,R2_exact_runtime_to_exact_runtime,"['R2_exact_runtime_to_exact_runtime', 'R2_A_runtime_to_A_runtime', 'R1_exact_runtime_to_exact_runtime', 'R2_B_local_replay']"
